+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Blocked time |
| crate_variances .......................................................  | 6.98ms    | 0.001           | 19.27ms  | 1          | 101        | 0.00ns       |
| check_mod_deathness ...................................................  | 6.77ms    | 0.001           | 628.17ms | 102        | 0          | 0.00ns       |
| metadata_decode_entry_type_of .........................................  | 6.62ms    | 0.001           | 6.62ms   | 5802       | 0          | 0.00ns       |
| type_param_predicates .................................................  | 5.91ms    | 0.001           | 9.67ms   | 500        | 100        | 0.00ns       |
| upstream_monomorphizations ............................................  | 5.79ms    | 0.001           | 10.52ms  | 1          | 1277       | 5.18ms       |
| lookup_stability ......................................................  | 5.70ms    | 0.001           | 5.81ms   | 3820       | 1244978    | 146.77µs     |
| metadata_decode_entry_fn_sig ..........................................  | 5.67ms    | 0.001           | 5.67ms   | 2099       | 0          | 0.00ns       |
| in_scope_traits_map ...................................................  | 5.61ms    | 0.000           | 5.61ms   | 4913       | 42336      | 0.00ns       |
| is_doc_hidden .........................................................  | 5.55ms    | 0.000           | 5.55ms   | 1937       | 74569      | 0.00ns       |
| upstream_drop_glue_for ................................................  | 5.38ms    | 0.000           | 5.38ms   | 30455      | 186463     | 0.00ns       |
| incoherent_impls ......................................................  | 5.13ms    | 0.000           | 7.57ms   | 4          | 13301      | 4.84ms       |
| implementations_of_trait ..............................................  | 5.13ms    | 0.000           | 10.11ms  | 25620      | 0          | 0.00ns       |
| metadata_decode_entry_implementations_of_trait ........................  | 4.98ms    | 0.000           | 4.98ms   | 25620      | 0          | 0.00ns       |
| opaque_ty_origin ......................................................  | 4.83ms    | 0.000           | 4.83ms   | 3305       | 9918       | 0.00ns       |
| metadata_decode_entry_exported_generic_symbols ........................  | 4.71ms    | 0.000           | 4.71ms   | 140        | 0          | 0.00ns       |
| inhabited_predicate_adt ...............................................  | 4.38ms    | 0.000           | 12.09ms  | 928        | 13385      | 0.00ns       |
| metadata_decode_entry_explicit_predicates_of ..........................  | 4.18ms    | 0.000           | 4.18ms   | 2650       | 0          | 0.00ns       |
| impl_item_implementor_ids .............................................  | 4.11ms    | 0.000           | 7.71ms   | 2869       | 463753     | 104.49µs     |
| dyn_compatibility_violations ..........................................  | 4.11ms    | 0.000           | 7.87ms   | 120        | 402        | 0.00ns       |
| adt_def ...............................................................  | 4.07ms    | 0.000           | 11.80ms  | 1632       | 390589     | 407.05µs     |
| metadata_decode_entry_adt_def .........................................  | 4.04ms    | 0.000           | 7.73ms   | 729        | 0          | 0.00ns       |
| adt_destructor ........................................................  | 3.76ms    | 0.000           | 3.93ms   | 1527       | 196867     | 0.00ns       |
| mir_for_ctfe ..........................................................  | 3.51ms    | 0.000           | 83.74ms  | 661        | 39099      | 0.00ns       |
| adt_sizedness_constraint ..............................................  | 3.47ms    | 0.000           | 8.79ms   | 1246       | 2765622    | 298.23µs     |
| link_binary_remove_temps ..............................................  | 3.29ms    | 0.000           | 3.29ms   | 1          | 0          | 0.00ns       |
| metadata_decode_entry_associated_item .................................  | 3.22ms    | 0.000           | 3.22ms   | 2574       | 0          | 0.00ns       |
| mir_const_qualif ......................................................  | 3.09ms    | 0.000           | 37.75ms  | 300        | 0          | 0.00ns       |
| impl_parent ...........................................................  | 2.99ms    | 0.000           | 4.11ms   | 18566      | 0          | 0.00ns       |
| mir_pass_early_otherwise_branch .......................................  | 2.99ms    | 0.000           | 2.99ms   | 20232      | 0          | 0.00ns       |
| expn_that_defined .....................................................  | 2.87ms    | 0.000           | 2.93ms   | 1862       | 285431     | 41.35µs      |
| local_trait_impls .....................................................  | 2.87ms    | 0.000           | 2.87ms   | 1584       | 1421       | 0.00ns       |
| is_codegened_item .....................................................  | 2.86ms    | 0.000           | 2.86ms   | 1260       | 544        | 0.00ns       |
| monomorphization_collector_root_collections ...........................  | 2.68ms    | 0.000           | 13.09s   | 1          | 0          | 0.00ns       |
| generics_require_sized_self ...........................................  | 2.64ms    | 0.000           | 3.03ms   | 405        | 36645      | 28.03µs      |
| check_unused_traits ...................................................  | 2.60ms    | 0.000           | 4.88ms   | 1          | 0          | 0.00ns       |
| crate_inherent_impls_overlap_check ....................................  | 2.48ms    | 0.000           | 3.45ms   | 1          | 0          | 0.00ns       |
| metadata_decode_entry_generics_of .....................................  | 2.39ms    | 0.000           | 2.39ms   | 3408       | 0          | 0.00ns       |
| unsizing_params_for_adt ...............................................  | 2.39ms    | 0.000           | 2.53ms   | 417        | 36817      | 229.18µs     |
| lit_to_const ..........................................................  | 2.33ms    | 0.000           | 2.33ms   | 209        | 891        | 0.00ns       |
| used_trait_imports ....................................................  | 2.28ms    | 0.000           | 2.28ms   | 20934      | 0          | 0.00ns       |
| crate_inherent_impls ..................................................  | 2.20ms    | 0.000           | 2.20ms   | 1          | 1007       | 803.69µs     |
| metadata_decode_entry_def_span ........................................  | 1.98ms    | 0.000           | 1.98ms   | 2251       | 0          | 0.00ns       |
| orphan_check_impl .....................................................  | 1.76ms    | 0.000           | 1.76ms   | 2713       | 0          | 0.00ns       |
| metadata_decode_entry_module_children .................................  | 1.70ms    | 0.000           | 1.70ms   | 91         | 0          | 0.00ns       |
| params_in_repr ........................................................  | 1.63ms    | 0.000           | 1.64ms   | 304        | 600        | 0.00ns       |
| mir_keys ..............................................................  | 1.63ms    | 0.000           | 1.63ms   | 1          | 18428      | 0.00ns       |
| join_worker_thread ....................................................  | 1.56ms    | 0.000           | 1.56ms   | 1          | 0          | 0.00ns       |
| metadata_decode_entry_mir_for_ctfe ....................................  | 1.55ms    | 0.000           | 1.55ms   | 361        | 0          | 0.00ns       |
| trait_explicit_predicates_and_bounds ..................................  | 1.43ms    | 0.000           | 1.43ms   | 100        | 200        | 0.00ns       |
| representability_adt_ty ...............................................  | 1.40ms    | 0.000           | 3.05ms   | 304        | 1797       | 0.00ns       |
| def_kind ..............................................................  | 1.31ms    | 0.000           | 2.12ms   | 5821       | 40830773   | 117.06µs     |
| attrs_for_def .........................................................  | 1.14ms    | 0.000           | 8.46ms   | 1189       | 799923     | 656.41µs     |
| metadata_decode_entry_impl_parent .....................................  | 1.12ms    | 0.000           | 1.12ms   | 18566      | 0          | 0.00ns       |
| finalize_imports ......................................................  | 1.10ms    | 0.000           | 1.10ms   | 1          | 0          | 0.00ns       |
| resolver_for_lowering_raw .............................................  | 1.07ms    | 0.000           | 3.76s    | 1          | 6          | 0.00ns       |
| opt_hir_owner_nodes ...................................................  | 1.01ms    | 0.000           | 550.47ms | 15265      | 5325353    | 0.00ns       |
| required_panic_strategy ...............................................  | 979.56µs  | 0.000           | 984.07µs | 128        | 0          | 0.00ns       |
| adt_async_destructor ..................................................  | 969.51µs  | 0.000           | 974.87µs | 427        | 15673      | 0.00ns       |
| pre_AST_expansion_lint_checks .........................................  | 955.56µs  | 0.000           | 955.56µs | 102        | 0          | 0.00ns       |
| is_reachable_non_generic ..............................................  | 946.86µs  | 0.000           | 13.09s   | 9770       | 556546     | 0.00ns       |
| asyncness .............................................................  | 915.35µs  | 0.000           | 934.88µs | 473        | 5675       | 0.00ns       |
| mir_pass_pre_codegen ..................................................  | 909.80µs  | 0.000           | 909.80µs | 20232      | 0          | 0.00ns       |
| instantiate_and_check_impossible_predicates ...........................  | 865.93µs  | 0.000           | 1.67ms   | 19         | 2          | 0.00ns       |
| own_existential_vtable_entries ........................................  | 861.98µs  | 0.000           | 2.04ms   | 35         | 23459      | 0.00ns       |
| reveal_opaque_types_in_bounds .........................................  | 839.97µs  | 0.000           | 839.97µs | 1222       | 25265      | 0.00ns       |
| metadata_decode_entry_def_kind ........................................  | 805.17µs  | 0.000           | 805.17µs | 5821       | 0          | 0.00ns       |
| compute_effective_visibilities ........................................  | 771.13µs  | 0.000           | 771.13µs | 1          | 0          | 0.00ns       |
| ty_span ...............................................................  | 763.51µs  | 0.000           | 763.51µs | 300        | 0          | 0.00ns       |
| is_dyn_compatible .....................................................  | 741.98µs  | 0.000           | 8.62ms   | 120        | 26698      | 482.41µs     |
| metadata_decode_entry_codegen_fn_attrs ................................  | 737.87µs  | 0.000           | 737.87µs | 2362       | 0          | 0.00ns       |
| fn_abi_of_fn_ptr ......................................................  | 710.69µs  | 0.000           | 712.66µs | 614        | 849        | 0.00ns       |
| inherent_impls ........................................................  | 688.44µs  | 0.000           | 936.58µs | 1031       | 45921      | 20.65µs      |
| metadata_decode_entry_inferred_outlives_of ............................  | 631.49µs  | 0.000           | 631.49µs | 2650       | 0          | 0.00ns       |
| metadata_decode_entry_deduced_param_attrs .............................  | 592.32µs  | 0.000           | 592.32µs | 1996       | 0          | 0.00ns       |
| reachable_non_generics ................................................  | 586.87µs  | 0.000           | 13.09s   | 44         | 9727       | 0.00ns       |
| metadata_decode_entry_promoted_mir ....................................  | 583.88µs  | 0.000           | 583.88µs | 91         | 0          | 0.00ns       |
| metadata_decode_entry_mir_coroutine_witnesses .........................  | 566.99µs  | 0.000           | 566.99µs | 62         | 0          | 0.00ns       |
| explicit_super_predicates_of ..........................................  | 510.84µs  | 0.000           | 584.54µs | 146        | 1040033    | 20.66µs      |
| trait_def .............................................................  | 495.73µs  | 0.000           | 637.59µs | 290        | 55650712   | 19.41µs      |
| all_diagnostic_items ..................................................  | 485.98µs  | 0.000           | 605.54µs | 1          | 8217       | 0.00ns       |
| metadata_decode_entry_cross_crate_inlinable ...........................  | 415.18µs  | 0.000           | 415.18µs | 1919       | 0          | 0.00ns       |
| explicit_implied_predicates_of ........................................  | 408.47µs  | 0.000           | 645.86µs | 294        | 160809     | 40.91µs      |
| crate_incoherent_impls ................................................  | 407.30µs  | 0.000           | 2.44ms   | 564        | 0          | 0.00ns       |
| metadata_decode_entry_defaultness .....................................  | 362.30µs  | 0.000           | 362.30µs | 2177       | 0          | 0.00ns       |
| parse_crate ...........................................................  | 341.18µs  | 0.000           | 341.18µs | 1          | 0          | 0.00ns       |
| metadata_decode_entry_associated_item_def_ids .........................  | 295.93µs  | 0.000           | 295.93µs | 791        | 0          | 0.00ns       |
| write_allocator_module ................................................  | 288.50µs  | 0.000           | 289.16µs | 1          | 0          | 0.00ns       |
| upstream_monomorphizations_for ........................................  | 276.03µs  | 0.000           | 10.80ms  | 1278       | 359733     | 0.00ns       |
| metadata_decode_entry_is_mir_available ................................  | 267.63µs  | 0.000           | 267.63µs | 1598       | 0          | 0.00ns       |
| specializes ...........................................................  | 259.00µs  | 0.000           | 473.59µs | 23         | 3213       | 0.00ns       |
| metadata_load_macro ...................................................  | 250.31µs  | 0.000           | 250.31µs | 18         | 0          | 0.00ns       |
| write_dep_info ........................................................  | 247.49µs  | 0.000           | 18.45ms  | 1          | 0          | 0.00ns       |
| metadata_decode_entry_explicit_implied_predicates_of ..................  | 237.39µs  | 0.000           | 237.39µs | 194        | 0          | 0.00ns       |
| metadata_decode_entry_exported_non_generic_symbols ....................  | 220.44µs  | 0.000           | 220.44µs | 128        | 0          | 0.00ns       |
| lint_expectations .....................................................  | 218.03µs  | 0.000           | 218.03µs | 1          | 0          | 0.00ns       |
| explicit_supertraits_containing_assoc_item ............................  | 210.64µs  | 0.000           | 210.64µs | 100        | 200        | 0.00ns       |
| is_unreachable_local_definition .......................................  | 210.22µs  | 0.000           | 210.22µs | 101        | 0          | 0.00ns       |
| metadata_decode_entry_reachable_non_generics ..........................  | 199.83µs  | 0.000           | 340.92µs | 43         | 0          | 0.00ns       |
| dependency_formats ....................................................  | 196.71µs  | 0.000           | 1.32ms   | 1          | 4          | 0.00ns       |
| metadata_decode_entry_intrinsic_raw ...................................  | 191.29µs  | 0.000           | 191.29µs | 1746       | 0          | 0.00ns       |
| metadata_decode_entry_explicit_item_self_bounds .......................  | 185.43µs  | 0.000           | 185.43µs | 29         | 0          | 0.00ns       |
| first_method_vtable_slot ..............................................  | 171.03µs  | 0.000           | 1.67ms   | 19         | 9          | 0.00ns       |
| metadata_decode_entry_adt_destructor ..................................  | 169.88µs  | 0.000           | 169.88µs | 624        | 0          | 0.00ns       |
| foreign_modules .......................................................  | 163.61µs  | 0.000           | 163.61µs | 1          | 0          | 0.00ns       |
| drop_compiler .........................................................  | 150.75µs  | 0.000           | 150.75µs | 1          | 0          | 0.00ns       |
| metadata_decode_entry_trait_def .......................................  | 141.86µs  | 0.000           | 141.86µs | 190        | 0          | 0.00ns       |
| eval_to_valtree .......................................................  | 124.04µs  | 0.000           | 710.99µs | 16         | 31         | 0.00ns       |
| link_crate ............................................................  | 117.48µs  | 0.000           | 264.14ms | 1          | 0          | 0.00ns       |
| metadata_decode_entry_lookup_stability ................................  | 106.84µs  | 0.000           | 106.84µs | 178        | 0          | 0.00ns       |
| lint_reexports ........................................................  | 83.36µs   | 0.000           | 83.36µs  | 1          | 0          | 0.00ns       |
| visibility ............................................................  | 74.95µs   | 0.000           | 137.73µs | 194        | 4065953    | 0.00ns       |
| metadata_decode_entry_explicit_super_predicates_of ....................  | 73.70µs   | 0.000           | 73.70µs  | 46         | 0          | 0.00ns       |
| mir_pass_ctfe_limit ...................................................  | 71.29µs   | 0.000           | 71.29µs  | 300        | 0          | 0.00ns       |
| metadata_decode_entry_constness .......................................  | 67.13µs   | 0.000           | 67.13µs  | 241        | 0          | 0.00ns       |
| metadata_decode_entry_explicit_item_bounds ............................  | 66.43µs   | 0.000           | 66.43µs  | 12         | 0          | 0.00ns       |
| metadata_decode_entry_const_conditions ................................  | 63.90µs   | 0.000           | 63.90µs  | 51         | 0          | 0.00ns       |
| write_crate_metadata ..................................................  | 63.83µs   | 0.000           | 63.83µs  | 1          | 0          | 0.00ns       |
| metadata_decode_entry_visibility ......................................  | 62.78µs   | 0.000           | 62.78µs  | 194        | 0          | 0.00ns       |
| metadata_decode_entry_def_ident_span ..................................  | 60.39µs   | 0.000           | 60.39µs  | 136        | 0          | 0.00ns       |
| metadata_decode_entry_diagnostic_items ................................  | 58.32µs   | 0.000           | 58.32µs  | 131        | 0          | 0.00ns       |
| metadata_decode_entry_lookup_deprecation_entry ........................  | 57.75µs   | 0.000           | 57.75µs  | 211        | 0          | 0.00ns       |
| link_binary_check_files_are_writeable .................................  | 56.08µs   | 0.000           | 56.08µs  | 1          | 0          | 0.00ns       |
| metadata_decode_entry_variances_of ....................................  | 55.60µs   | 0.000           | 55.60µs  | 46         | 0          | 0.00ns       |
| metadata_decode_entry_expn_that_defined ...............................  | 53.51µs   | 0.000           | 53.51µs  | 58         | 0          | 0.00ns       |
| object_lifetime_default ...............................................  | 52.25µs   | 0.000           | 77.34µs  | 25         | 23748      | 18.91µs      |
| metadata_decode_entry_missing_lang_items ..............................  | 51.47µs   | 0.000           | 51.47µs  | 140        | 0          | 0.00ns       |
| exported_non_generic_symbols ..........................................  | 50.61µs   | 0.000           | 271.55µs | 129        | 173        | 0.00ns       |
| compile_first_CGU_batch ...............................................  | 48.57µs   | 0.000           | 2.98s    | 1          | 0          | 0.00ns       |
| metadata_decode_entry_defined_lang_items ..............................  | 48.22µs   | 0.000           | 48.22µs  | 140        | 0          | 0.00ns       |
| metadata_decode_entry_native_libraries ................................  | 44.53µs   | 0.000           | 44.53µs  | 140        | 0          | 0.00ns       |
| postorder_cnums .......................................................  | 44.34µs   | 0.000           | 44.34µs  | 1          | 0          | 0.00ns       |
| const_conditions ......................................................  | 43.14µs   | 0.000           | 107.04µs | 51         | 0          | 0.00ns       |
| metadata_decode_entry_crate_incoherent_impls ..........................  | 41.49µs   | 0.000           | 41.49µs  | 560        | 0          | 0.00ns       |
| native_libraries ......................................................  | 40.48µs   | 0.000           | 248.61µs | 141        | 0          | 0.00ns       |
| symbol_mangling_version ...............................................  | 36.96µs   | 0.000           | 48.62µs  | 44         | 938        | 0.00ns       |
| metadata_decode_entry_inherent_impls ..................................  | 36.85µs   | 0.000           | 36.85µs  | 28         | 0          | 0.00ns       |
| crate_name ............................................................  | 36.13µs   | 0.000           | 52.42µs  | 140        | 794115     | 0.00ns       |
| is_private_dep ........................................................  | 36.04µs   | 0.000           | 60.60µs  | 141        | 31620      | 0.00ns       |
| missing_lang_items ....................................................  | 33.44µs   | 0.000           | 84.91µs  | 140        | 128        | 0.00ns       |
| metadata_decode_entry_anon_const_kind .................................  | 30.48µs   | 0.000           | 30.48µs  | 13         | 0          | 0.00ns       |
| metadata_decode_entry_coroutine_kind ..................................  | 29.36µs   | 0.000           | 29.36µs  | 100        | 0          | 0.00ns       |
| exportable_items ......................................................  | 26.60µs   | 0.000           | 38.43µs  | 44         | 147280     | 0.00ns       |
| metadata_decode_entry_object_lifetime_default .........................  | 25.09µs   | 0.000           | 25.09µs  | 22         | 0          | 0.00ns       |
| metadata_decode_entry_is_private_dep ..................................  | 24.56µs   | 0.000           | 24.56µs  | 140        | 0          | 0.00ns       |
| crate_injection .......................................................  | 24.25µs   | 0.000           | 24.25µs  | 1          | 0          | 0.00ns       |
| module_children .......................................................  | 23.71µs   | 0.000           | 1.72ms   | 91         | 0          | 0.00ns       |
| metadata_decode_entry_associated_types_for_impl_traits_in_trait_or_impl  | 23.02µs   | 0.000           | 23.02µs  | 9          | 0          | 0.00ns       |
| emit_ast_lowering_delayed_lints .......................................  | 22.63µs   | 0.000           | 23.10µs  | 1          | 0          | 0.00ns       |
| stable_order_of_exportable_impls ......................................  | 21.99µs   | 0.000           | 21.99µs  | 1          | 0          | 0.00ns       |
| exported_generic_symbols ..............................................  | 21.90µs   | 0.000           | 4.73ms   | 141        | 258        | 0.00ns       |
| metadata_decode_entry_dep_kind ........................................  | 21.31µs   | 0.000           | 21.31µs  | 140        | 0          | 0.00ns       |
| registered_tools ......................................................  | 20.14µs   | 0.000           | 20.14µs  | 1          | 29711      | 0.00ns       |
| metadata_decode_entry_asyncness .......................................  | 19.53µs   | 0.000           | 19.53µs  | 72         | 0          | 0.00ns       |
| is_no_builtins ........................................................  | 19.22µs   | 0.000           | 24.43µs  | 140        | 0          | 0.00ns       |
| analysis ..............................................................  | 18.76µs   | 0.000           | 35.17s   | 1          | 0          | 0.00ns       |
| lint_checking .........................................................  | 17.99µs   | 0.000           | 825.67ms | 1          | 0          | 0.00ns       |
| metadata_decode_entry_used_crate_source ...............................  | 17.93µs   | 0.000           | 17.93µs  | 140        | 0          | 0.00ns       |
| codegen_unit ..........................................................  | 17.68µs   | 0.000           | 17.68µs  | 16         | 16         | 0.00ns       |
| defined_lang_items ....................................................  | 17.53µs   | 0.000           | 65.75µs  | 140        | 0          | 0.00ns       |
| used_crate_source .....................................................  | 17.42µs   | 0.000           | 35.36µs  | 140        | 128        | 0.00ns       |
| unused_lib_feature_checking ...........................................  | 17.07µs   | 0.000           | 22.44µs  | 1          | 0          | 0.00ns       |
| dep_kind ..............................................................  | 16.90µs   | 0.000           | 38.22µs  | 140        | 280        | 0.00ns       |
| metadata_decode_entry_is_panic_runtime ................................  | 16.61µs   | 0.000           | 16.61µs  | 140        | 0          | 0.00ns       |
| metadata_decode_entry_crate_name ......................................  | 16.29µs   | 0.000           | 16.29µs  | 140        | 0          | 0.00ns       |
| is_panic_runtime ......................................................  | 16.26µs   | 0.000           | 32.87µs  | 141        | 131        | 0.00ns       |
| is_profiler_runtime ...................................................  | 16.19µs   | 0.000           | 23.00µs  | 140        | 0          | 0.00ns       |
| rust_target_features ..................................................  | 15.38µs   | 0.000           | 15.38µs  | 1          | 20933      | 0.00ns       |
| coherence_checking ....................................................  | 15.17µs   | 0.000           | 2.95s    | 1          | 0          | 0.00ns       |
| is_compiler_builtins ..................................................  | 14.72µs   | 0.000           | 24.55µs  | 129        | 1064434    | 0.00ns       |
| panic_in_drop_strategy ................................................  | 13.38µs   | 0.000           | 17.90µs  | 126        | 0          | 0.00ns       |
| metadata_decode_entry_exportable_items ................................  | 11.84µs   | 0.000           | 11.84µs  | 43         | 0          | 0.00ns       |
| metadata_decode_entry_symbol_mangling_version .........................  | 11.66µs   | 0.000           | 11.66µs  | 44         | 0          | 0.00ns       |
| check_unused_macros ...................................................  | 10.24µs   | 0.000           | 10.24µs  | 1          | 0          | 0.00ns       |
| anon_const_kind .......................................................  | 10.13µs   | 0.000           | 40.61µs  | 13         | 27         | 0.00ns       |
| macro_expand_crate ....................................................  | 10.09µs   | 0.000           | 3.38s    | 1          | 0          | 0.00ns       |
| is_promotable_const_fn ................................................  | 9.93µs    | 0.000           | 19.26µs  | 1          | 501        | 0.00ns       |
| metadata_decode_entry_is_compiler_builtins ............................  | 9.82µs    | 0.000           | 9.82µs   | 128        | 0          | 0.00ns       |
| metadata_decode_entry_explicit_implied_const_bounds ...................  | 9.56µs    | 0.000           | 9.56µs   | 14         | 0          | 0.00ns       |
| explicit_implied_const_bounds .........................................  | 9.35µs    | 0.000           | 18.91µs  | 14         | 8          | 0.00ns       |
| clashing_extern_declarations ..........................................  | 8.86µs    | 0.000           | 8.86µs   | 1          | 0          | 0.00ns       |
| metadata_decode_entry_lookup_const_stability ..........................  | 8.22µs    | 0.000           | 8.22µs   | 1          | 0          | 0.00ns       |
| looking_for_entry_point ...............................................  | 8.02µs    | 0.000           | 19.23ms  | 1          | 0          | 0.00ns       |
| check_validity_requirement ............................................  | 7.90µs    | 0.000           | 9.66µs   | 10         | 2          | 0.00ns       |
| crates ................................................................  | 7.85µs    | 0.000           | 7.85µs   | 1          | 192        | 0.00ns       |
| codegen_thin_generate_lto_work ........................................  | 7.83µs    | 0.000           | 172.12ms | 1          | 0          | 0.00ns       |
| resolve_main ..........................................................  | 7.33µs    | 0.000           | 7.33µs   | 1          | 0          | 0.00ns       |
| metadata_decode_entry_params_in_repr ..................................  | 7.16µs    | 0.000           | 7.16µs   | 4          | 0          | 0.00ns       |
| resolve_crate .........................................................  | 7.07µs    | 0.000           | 345.84ms | 1          | 0          | 0.00ns       |
| metadata_decode_entry_is_profiler_runtime .............................  | 6.82µs    | 0.000           | 6.82µs   | 140        | 0          | 0.00ns       |
| metadata_decode_entry_coerce_unsized_info .............................  | 6.65µs    | 0.000           | 6.65µs   | 3          | 0          | 0.00ns       |
| metadata_decode_entry_is_no_builtins ..................................  | 5.21µs    | 0.000           | 5.21µs   | 140        | 0          | 0.00ns       |
| used_crates ...........................................................  | 4.98µs    | 0.000           | 4.98µs   | 1          | 0          | 0.00ns       |
| cgu_partitioning ......................................................  | 4.95µs    | 0.000           | 567.63ms | 1          | 0          | 0.00ns       |
| metadata_decode_entry_is_doc_hidden ...................................  | 4.78µs    | 0.000           | 4.78µs   | 36         | 0          | 0.00ns       |
| metadata_decode_entry_panic_in_drop_strategy ..........................  | 4.52µs    | 0.000           | 4.52µs   | 126        | 0          | 0.00ns       |
| metadata_decode_entry_required_panic_strategy .........................  | 4.51µs    | 0.000           | 4.51µs   | 127        | 0          | 0.00ns       |
| type_alias_is_lazy ....................................................  | 4.33µs    | 0.000           | 5.09µs   | 5          | 14219      | 0.00ns       |
| metadata_decode_entry_adt_async_destructor ............................  | 4.30µs    | 0.000           | 4.30µs   | 26         | 0          | 0.00ns       |
| check_lint_expectations ...............................................  | 3.37µs    | 0.000           | 224.31µs | 1          | 0          | 0.00ns       |
| specialization_enabled_in .............................................  | 3.36µs    | 0.000           | 3.88µs   | 5          | 18         | 0.00ns       |
| looking_for_derive_registrar ..........................................  | 3.27µs    | 0.000           | 8.57ms   | 1          | 0          | 0.00ns       |
| limits ................................................................  | 3.11µs    | 0.000           | 3.11µs   | 1          | 61632944   | 0.00ns       |
| link ..................................................................  | 2.99µs    | 0.000           | 264.14ms | 1          | 0          | 0.00ns       |
| extern_crate ..........................................................  | 2.98µs    | 0.000           | 4.59µs   | 9          | 0          | 0.00ns       |
| check_expectations ....................................................  | 2.92µs    | 0.000           | 220.94µs | 1          | 0          | 0.00ns       |
| normalize_canonicalized_free_alias ....................................  | 2.75µs    | 0.000           | 7.45µs   | 1          | 0          | 0.00ns       |
| stability_implications ................................................  | 2.71µs    | 0.000           | 2.71µs   | 1          | 0          | 0.00ns       |
| lib_features ..........................................................  | 2.67µs    | 0.000           | 2.67µs   | 1          | 0          | 0.00ns       |
| global_backend_features ...............................................  | 2.07µs    | 0.000           | 2.07µs   | 1          | 212962     | 0.00ns       |
| coerce_unsized_info ...................................................  | 1.89µs    | 0.000           | 8.55µs   | 3          | 6260       | 0.00ns       |
| lto_generate_symbols_below_threshold ..................................  | 1.80µs    | 0.000           | 1.80µs   | 1          | 0          | 0.00ns       |
| metadata_decode_entry_extern_crate ....................................  | 1.61µs    | 0.000           | 1.61µs   | 9          | 0          | 0.00ns       |
| maybe_create_a_macro_crate ............................................  | 1.51µs    | 0.000           | 1.51µs   | 1          | 0          | 0.00ns       |
| serialize_dep_graph ...................................................  | 1.39µs    | 0.000           | 1.39µs   | 1          | 0          | 0.00ns       |
| lookup_const_stability ................................................  | 1.11µs    | 0.000           | 9.33µs   | 1          | 0          | 0.00ns       |
| find_cgu_reuse ........................................................  | 972.00ns  | 0.000           | 972.00ns | 1          | 0          | 0.00ns       |
| lookup_default_body_stability .........................................  | 962.00ns  | 0.000           | 1.25µs   | 1          | 402        | 0.00ns       |
| metadata_decode_entry_type_alias_is_lazy ..............................  | 762.00ns  | 0.000           | 762.00ns | 5          | 0          | 0.00ns       |
| alloc_error_handler_kind ..............................................  | 661.00ns  | 0.000           | 661.00ns | 1          | 0          | 0.00ns       |
| crate_lints ...........................................................  | 601.00ns  | 0.000           | 601.00ns | 1          | 0          | 0.00ns       |
| metadata_decode_entry_specialization_enabled_in .......................  | 521.00ns  | 0.000           | 521.00ns | 5          | 0          | 0.00ns       |
| allocator_kind ........................................................  | 501.00ns  | 0.000           | 501.00ns | 1          | 1          | 0.00ns       |
| resolutions ...........................................................  | 491.00ns  | 0.000           | 491.00ns | 1          | 3392       | 0.00ns       |
| opt_ast_lowering_delayed_lints ........................................  | 471.00ns  | 0.000           | 471.00ns | 1          | 0          | 0.00ns       |
| maybe_building_test_harness ...........................................  | 451.00ns  | 0.000           | 451.00ns | 1          | 0          | 0.00ns       |
| layout_testing ........................................................  | 451.00ns  | 0.000           | 451.00ns | 1          | 0          | 0.00ns       |
| all_local_trait_impls .................................................  | 411.00ns  | 0.000           | 411.00ns | 1          | 0          | 0.00ns       |
| crate_inherent_impls_validity_check ...................................  | 351.00ns  | 0.000           | 351.00ns | 1          | 0          | 0.00ns       |
| drop_dep_graph ........................................................  | 310.00ns  | 0.000           | 310.00ns | 1          | 0          | 0.00ns       |
| metadata_decode_entry_lookup_default_body_stability ...................  | 290.00ns  | 0.000           | 290.00ns | 1          | 0          | 0.00ns       |
| serialize_work_products ...............................................  | 230.00ns  | 0.000           | 230.00ns | 1          | 0          | 0.00ns       |
| abi_testing ...........................................................  | 201.00ns  | 0.000           | 201.00ns | 1          | 0          | 0.00ns       |
| backend_optimization_level ............................................  | 150.00ns  | 0.000           | 150.00ns | 1          | 16         | 0.00ns       |
| resolve_report_errors .................................................  | 140.00ns  | 0.000           | 140.00ns | 1          | 0          | 0.00ns       |
| crate_for_resolver ....................................................  | 0.00ns    | 0.000           | 0.00ns   | 0          | 2          | 0.00ns       |
| features_query ........................................................  | 0.00ns    | 0.000           | 0.00ns   | 0          | 8374617    | 0.00ns       |
| output_filenames ......................................................  | 0.00ns    | 0.000           | 0.00ns   | 0          | 38         | 0.00ns       |
+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
Total cpu time: 1126.882111742s
+----------------------------+----------------+
| Item                       | Artifact Size  |
+----------------------------+----------------+
| cgu_instructions           | 2967571 bytes  |
| codegen_unit_size_estimate | 4934447 bytes  |
| linked_artifact            | 21784896 bytes |
| object_file                | 56852376 bytes |
+----------------------------+----------------+
