+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Blocked time |
| mir_pass_function_item_references .....................................  | 448.21ms  | 0.040           | 460.94ms | 20934      | 0          | 0.00ns       |
| expand_crate ..........................................................  | 436.71ms  | 0.039           | 3.38s    | 1          | 0          | 0.00ns       |
| mir_pass_inst_simplify_after_simplifycfg ..............................  | 434.89ms  | 0.039           | 434.90ms | 20232      | 0          | 0.00ns       |
| cgu_partitioning_place_items ..........................................  | 420.05ms  | 0.037           | 477.08ms | 1          | 0          | 0.00ns       |
| hir_crate .............................................................  | 411.28ms  | 0.036           | 549.46ms | 1          | 97306      | 0.00ns       |
| self_profile_alloc_query_strings ......................................  | 402.04ms  | 0.036           | 402.04ms | 1          | 0          | 0.00ns       |
| type_op_ascribe_user_type .............................................  | 388.52ms  | 0.034           | 459.02ms | 7039       | 19999      | 0.00ns       |
| mir_pass_inline .......................................................  | 384.83ms  | 0.034           | 454.38ms | 20232      | 0          | 0.00ns       |
| compare_impl_item .....................................................  | 363.22ms  | 0.032           | 983.87ms | 3815       | 3012       | 0.00ns       |
| mir_promoted ..........................................................  | 359.13ms  | 0.032           | 13.72s   | 20934      | 58001      | 0.00ns       |
| resolve_bound_vars ....................................................  | 355.71ms  | 0.032           | 371.09ms | 8224       | 10826      | 0.00ns       |
| mir_pass_reference_propagation ........................................  | 354.80ms  | 0.031           | 355.06ms | 20232      | 0          | 0.00ns       |
| mir_inliner_callees ...................................................  | 347.37ms  | 0.031           | 349.88ms | 20759      | 26477      | 0.00ns       |
| is_copy_raw ...........................................................  | 341.22ms  | 0.030           | 3.93s    | 107088     | 308669     | 1.22ms       |
| try_normalize_generic_arg_after_erasing_regions .......................  | 341.12ms  | 0.030           | 1.75s    | 132557     | 441587     | 0.00ns       |
| partition_and_assert_distinct_symbols .................................  | 340.71ms  | 0.030           | 908.34ms | 1          | 0          | 0.00ns       |
| check_private_in_public ...............................................  | 339.38ms  | 0.030           | 339.39ms | 102        | 0          | 0.00ns       |
