+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Blocked time |
| valtree_to_const_val ..................................................  | 7.59ms    | 0.001           | 7.60ms   | 239        | 4431       | 0.00ns       |
| own_existential_vtable_entries ........................................  | 7.55ms    | 0.001           | 8.61ms   | 35         | 12308      | 0.00ns       |
| adt_drop_tys ..........................................................  | 7.38ms    | 0.001           | 11.76ms  | 1134       | 97600      | 159.01µs     |
| metadata_decode_entry_attrs_for_def ...................................  | 7.19ms    | 0.001           | 7.19ms   | 1190       | 0          | 0.00ns       |
| incoherent_impls ......................................................  | 6.99ms    | 0.001           | 9.07ms   | 4          | 13301      | 6.66ms       |
| opaque_captured_lifetimes .............................................  | 6.53ms    | 0.001           | 12.75ms  | 3305       | 23108      | 0.00ns       |
| upstream_monomorphizations ............................................  | 5.96ms    | 0.000           | 10.75ms  | 1          | 1289       | 5.32ms       |
| type_param_predicates .................................................  | 5.89ms    | 0.000           | 9.92ms   | 500        | 100        | 0.00ns       |
| metadata_decode_entry_fn_sig ..........................................  | 5.78ms    | 0.000           | 5.78ms   | 2110       | 0          | 0.00ns       |
| in_scope_traits_map ...................................................  | 5.72ms    | 0.000           | 5.72ms   | 4913       | 42336      | 0.00ns       |
| is_doc_hidden .........................................................  | 5.61ms    | 0.000           | 5.61ms   | 1937       | 74569      | 177.09µs     |
| lookup_stability ......................................................  | 5.58ms    | 0.000           | 6.24ms   | 3819       | 1241361    | 143.84µs     |
| upstream_drop_glue_for ................................................  | 5.14ms    | 0.000           | 5.14ms   | 29958      | 196956     | 0.00ns       |
| opaque_ty_origin ......................................................  | 5.12ms    | 0.000           | 5.12ms   | 3305       | 9918       | 0.00ns       |
| implementations_of_trait ..............................................  | 5.03ms    | 0.000           | 9.85ms   | 26180      | 0          | 0.00ns       |
| metadata_decode_entry_implementations_of_trait ........................  | 4.82ms    | 0.000           | 4.82ms   | 26180      | 0          | 0.00ns       |
| metadata_decode_entry_exported_generic_symbols ........................  | 4.77ms    | 0.000           | 4.77ms   | 140        | 0          | 0.00ns       |
| adt_destructor ........................................................  | 4.63ms    | 0.000           | 4.78ms   | 1527       | 196473     | 27.13µs      |
| inhabited_predicate_adt ...............................................  | 4.62ms    | 0.000           | 10.42ms  | 928        | 13385      | 0.00ns       |
| metadata_decode_entry_explicit_predicates_of ..........................  | 4.42ms    | 0.000           | 4.42ms   | 2652       | 0          | 0.00ns       |
| adt_def ...............................................................  | 4.29ms    | 0.000           | 11.13ms  | 1632       | 389622     | 126.69µs     |
| impl_item_implementor_ids .............................................  | 3.55ms    | 0.000           | 7.43ms   | 2469       | 502670     | 97.94µs      |
| expn_that_defined .....................................................  | 3.34ms    | 0.000           | 3.41ms   | 1862       | 285431     | 245.14µs     |
| adt_sizedness_constraint ..............................................  | 3.33ms    | 0.000           | 10.41ms  | 1248       | 2887034    | 276.34µs     |
| crate_inherent_impls ..................................................  | 3.33ms    | 0.000           | 3.33ms   | 1          | 1007       | 2.37ms       |
| mir_for_ctfe ..........................................................  | 3.27ms    | 0.000           | 87.22ms  | 661        | 39112      | 0.00ns       |
| metadata_decode_entry_adt_def .........................................  | 3.24ms    | 0.000           | 6.84ms   | 729        | 0          | 0.00ns       |
| mir_pass_early_otherwise_branch .......................................  | 3.17ms    | 0.000           | 3.17ms   | 20232      | 0          | 0.00ns       |
| unsizing_params_for_adt ...............................................  | 3.17ms    | 0.000           | 3.27ms   | 417        | 36817      | 757.76µs     |
| dyn_compatibility_violations ..........................................  | 3.13ms    | 0.000           | 6.12ms   | 120        | 0          | 0.00ns       |
| link_binary_remove_temps ..............................................  | 3.08ms    | 0.000           | 3.08ms   | 1          | 0          | 0.00ns       |
| mir_const_qualif ......................................................  | 3.01ms    | 0.000           | 39.03ms  | 300        | 0          | 0.00ns       |
| check_unused_traits ...................................................  | 2.89ms    | 0.000           | 5.43ms   | 1          | 0          | 0.00ns       |
| metadata_decode_entry_associated_item .................................  | 2.79ms    | 0.000           | 2.79ms   | 2611       | 0          | 0.00ns       |
| monomorphization_collector_root_collections ...........................  | 2.63ms    | 0.000           | 13.97s   | 1          | 0          | 0.00ns       |
| crate_inherent_impls_overlap_check ....................................  | 2.58ms    | 0.000           | 3.63ms   | 1          | 0          | 0.00ns       |
| local_trait_impls .....................................................  | 2.58ms    | 0.000           | 2.58ms   | 1588       | 1420       | 0.00ns       |
| impl_parent ...........................................................  | 2.54ms    | 0.000           | 3.59ms   | 18494      | 0          | 0.00ns       |
| used_trait_imports ....................................................  | 2.54ms    | 0.000           | 2.54ms   | 20934      | 0          | 0.00ns       |
| generics_require_sized_self ...........................................  | 2.34ms    | 0.000           | 2.77ms   | 404        | 37563      | 89.62µs      |
| lit_to_const ..........................................................  | 2.18ms    | 0.000           | 2.18ms   | 209        | 891        | 0.00ns       |
| metadata_decode_entry_inferred_outlives_of ............................  | 2.18ms    | 0.000           | 2.18ms   | 2652       | 0          | 0.00ns       |
| orphan_check_impl .....................................................  | 2.13ms    | 0.000           | 2.13ms   | 2311       | 0          | 0.00ns       |
| metadata_decode_entry_generics_of .....................................  | 2.06ms    | 0.000           | 2.06ms   | 3428       | 0          | 0.00ns       |
| join_worker_thread ....................................................  | 2.05ms    | 0.000           | 2.05ms   | 1          | 0          | 0.00ns       |
| params_in_repr ........................................................  | 2.03ms    | 0.000           | 2.04ms   | 304        | 600        | 0.00ns       |
| metadata_decode_entry_def_span ........................................  | 1.97ms    | 0.000           | 1.97ms   | 2257       | 0          | 0.00ns       |
| def_kind ..............................................................  | 1.79ms    | 0.000           | 2.73ms   | 5912       | 41886654   | 132.90µs     |
| is_codegened_item .....................................................  | 1.74ms    | 0.000           | 1.74ms   | 1262       | 556        | 0.00ns       |
| mir_keys ..............................................................  | 1.64ms    | 0.000           | 1.64ms   | 1          | 18226      | 0.00ns       |
| adt_async_destructor ..................................................  | 1.51ms    | 0.000           | 1.52ms   | 427        | 15673      | 32.71µs      |
| metadata_decode_entry_module_children .................................  | 1.49ms    | 0.000           | 1.49ms   | 90         | 0          | 0.00ns       |
| attrs_for_def .........................................................  | 1.47ms    | 0.000           | 8.66ms   | 1190       | 793008     | 1.09ms       |
| metadata_decode_entry_mir_for_ctfe ....................................  | 1.43ms    | 0.000           | 1.43ms   | 361        | 0          | 0.00ns       |
| representability_adt_ty ...............................................  | 1.36ms    | 0.000           | 3.46ms   | 304        | 1797       | 0.00ns       |
| resolver_for_lowering_raw .............................................  | 1.29ms    | 0.000           | 4.63s    | 1          | 6          | 0.00ns       |
| trait_explicit_predicates_and_bounds ..................................  | 1.28ms    | 0.000           | 1.28ms   | 100        | 200        | 0.00ns       |
| compute_effective_visibilities ........................................  | 1.24ms    | 0.000           | 1.24ms   | 1          | 0          | 0.00ns       |
| finalize_imports ......................................................  | 1.18ms    | 0.000           | 1.18ms   | 1          | 0          | 0.00ns       |
| metadata_decode_entry_impl_parent .....................................  | 1.05ms    | 0.000           | 1.05ms   | 18494      | 0          | 0.00ns       |
| instantiate_and_check_impossible_predicates ...........................  | 1.00ms    | 0.000           | 2.19ms   | 21         | 2          | 0.00ns       |
| asyncness .............................................................  | 975.40µs  | 0.000           | 988.70µs | 473        | 3374       | 0.00ns       |
| metadata_decode_entry_def_kind ........................................  | 942.43µs  | 0.000           | 942.43µs | 5912       | 0          | 0.00ns       |
| required_panic_strategy ...............................................  | 930.17µs  | 0.000           | 935.71µs | 128        | 0          | 0.00ns       |
| mir_pass_pre_codegen ..................................................  | 913.69µs  | 0.000           | 913.69µs | 20232      | 0          | 0.00ns       |
| opt_hir_owner_nodes ...................................................  | 905.06µs  | 0.000           | 548.73ms | 14863      | 5305963    | 0.00ns       |
| all_diagnostic_items ..................................................  | 905.02µs  | 0.000           | 1.03ms   | 1          | 8217       | 0.00ns       |
| pre_AST_expansion_lint_checks .........................................  | 880.38µs  | 0.000           | 880.38µs | 102        | 0          | 0.00ns       |
| reveal_opaque_types_in_bounds .........................................  | 852.20µs  | 0.000           | 852.20µs | 1219       | 25067      | 0.00ns       |
| is_reachable_non_generic ..............................................  | 836.17µs  | 0.000           | 13.97s   | 9784       | 596243     | 0.00ns       |
| metadata_decode_entry_codegen_fn_attrs ................................  | 749.25µs  | 0.000           | 749.25µs | 2376       | 0          | 0.00ns       |
| inherent_impls ........................................................  | 738.25µs  | 0.000           | 2.18ms   | 1031       | 45921      | 58.54µs      |
| ty_span ...............................................................  | 725.92µs  | 0.000           | 725.92µs | 300        | 0          | 0.00ns       |
| metadata_decode_entry_lookup_stability ................................  | 664.43µs  | 0.000           | 664.43µs | 177        | 0          | 0.00ns       |
| metadata_decode_entry_mir_coroutine_witnesses .........................  | 617.41µs  | 0.000           | 617.41µs | 63         | 0          | 0.00ns       |
| is_dyn_compatible .....................................................  | 602.90µs  | 0.000           | 6.72ms   | 120        | 23696      | 365.49µs     |
| reachable_non_generics ................................................  | 551.57µs  | 0.000           | 13.97s   | 44         | 9741       | 0.00ns       |
| write_allocator_module ................................................  | 548.72µs  | 0.000           | 549.50µs | 1          | 0          | 0.00ns       |
| metadata_decode_entry_promoted_mir ....................................  | 547.49µs  | 0.000           | 547.49µs | 95         | 0          | 0.00ns       |
| fn_abi_of_fn_ptr ......................................................  | 503.35µs  | 0.000           | 504.93µs | 614        | 851        | 0.00ns       |
| metadata_decode_entry_cross_crate_inlinable ...........................  | 473.20µs  | 0.000           | 473.20µs | 1931       | 0          | 0.00ns       |
| trait_def .............................................................  | 470.15µs  | 0.000           | 612.14µs | 293        | 57379164   | 22.45µs      |
| explicit_implied_predicates_of ........................................  | 347.52µs  | 0.000           | 619.91µs | 298        | 136127     | 0.00ns       |
| metadata_decode_entry_defaultness .....................................  | 346.44µs  | 0.000           | 346.44µs | 2188       | 0          | 0.00ns       |
| explicit_supertraits_containing_assoc_item ............................  | 344.44µs  | 0.000           | 344.44µs | 100        | 200        | 0.00ns       |
| specializes ...........................................................  | 341.32µs  | 0.000           | 498.33µs | 25         | 3215       | 66.59µs      |
| parse_crate ...........................................................  | 340.58µs  | 0.000           | 340.58µs | 1          | 0          | 0.00ns       |
| metadata_decode_entry_associated_item_def_ids .........................  | 304.71µs  | 0.000           | 304.71µs | 794        | 0          | 0.00ns       |
| upstream_monomorphizations_for ........................................  | 303.48µs  | 0.000           | 11.06ms  | 1290       | 377574     | 0.00ns       |
| explicit_super_predicates_of ..........................................  | 298.21µs  | 0.000           | 365.59µs | 145        | 1022688    | 31.10µs      |
| metadata_decode_entry_is_mir_available ................................  | 277.35µs  | 0.000           | 277.35µs | 1659       | 0          | 0.00ns       |
| metadata_decode_entry_explicit_implied_predicates_of ..................  | 272.40µs  | 0.000           | 272.40µs | 198        | 0          | 0.00ns       |
| metadata_load_macro ...................................................  | 258.22µs  | 0.000           | 258.22µs | 18         | 0          | 0.00ns       |
| is_unreachable_local_definition .......................................  | 252.22µs  | 0.000           | 252.22µs | 101        | 0          | 0.00ns       |
| write_dep_info ........................................................  | 242.42µs  | 0.000           | 17.72ms  | 1          | 0          | 0.00ns       |
| metadata_decode_entry_exported_non_generic_symbols ....................  | 224.89µs  | 0.000           | 224.89µs | 128        | 0          | 0.00ns       |
| lint_expectations .....................................................  | 224.85µs  | 0.000           | 224.85µs | 1          | 0          | 0.00ns       |
| metadata_decode_entry_intrinsic_raw ...................................  | 206.32µs  | 0.000           | 206.32µs | 1799       | 0          | 0.00ns       |
| dependency_formats ....................................................  | 197.53µs  | 0.000           | 1.30ms   | 1          | 4          | 0.00ns       |
| first_method_vtable_slot ..............................................  | 196.26µs  | 0.000           | 2.21ms   | 21         | 9          | 0.00ns       |
| metadata_decode_entry_explicit_item_self_bounds .......................  | 183.10µs  | 0.000           | 183.10µs | 29         | 0          | 0.00ns       |
| metadata_decode_entry_reachable_non_generics ..........................  | 180.19µs  | 0.000           | 323.52µs | 43         | 0          | 0.00ns       |
| drop_compiler .........................................................  | 179.08µs  | 0.000           | 179.08µs | 1          | 0          | 0.00ns       |
| metadata_decode_entry_adt_destructor ..................................  | 149.86µs  | 0.000           | 149.86µs | 624        | 0          | 0.00ns       |
| eval_to_valtree .......................................................  | 147.62µs  | 0.000           | 689.96µs | 16         | 37         | 0.00ns       |
| lint_reexports ........................................................  | 147.41µs  | 0.000           | 147.41µs | 1          | 0          | 0.00ns       |
| foreign_modules .......................................................  | 144.13µs  | 0.000           | 144.13µs | 1          | 0          | 0.00ns       |
| metadata_decode_entry_trait_def .......................................  | 141.99µs  | 0.000           | 141.99µs | 193        | 0          | 0.00ns       |
| crate_incoherent_impls ................................................  | 123.84µs  | 0.000           | 2.08ms   | 564        | 0          | 0.00ns       |
| link_crate ............................................................  | 112.97µs  | 0.000           | 273.72ms | 1          | 0          | 0.00ns       |
| write_crate_metadata ..................................................  | 91.66µs   | 0.000           | 91.66µs  | 1          | 0          | 0.00ns       |
| visibility ............................................................  | 79.36µs   | 0.000           | 145.03µs | 193        | 4055904    | 0.00ns       |
| object_lifetime_default ...............................................  | 77.87µs   | 0.000           | 94.22µs  | 25         | 23748      | 64.10µs      |
| metadata_decode_entry_expn_that_defined ...............................  | 73.31µs   | 0.000           | 73.31µs  | 58         | 0          | 0.00ns       |
| mir_pass_ctfe_limit ...................................................  | 72.20µs   | 0.000           | 72.20µs  | 300        | 0          | 0.00ns       |
| metadata_decode_entry_const_conditions ................................  | 68.82µs   | 0.000           | 68.82µs  | 51         | 0          | 0.00ns       |
| metadata_decode_entry_explicit_super_predicates_of ....................  | 67.39µs   | 0.000           | 67.39µs  | 45         | 0          | 0.00ns       |
| metadata_decode_entry_visibility ......................................  | 65.67µs   | 0.000           | 65.67µs  | 193        | 0          | 0.00ns       |
| metadata_decode_entry_constness .......................................  | 64.38µs   | 0.000           | 64.38µs  | 248        | 0          | 0.00ns       |
| metadata_decode_entry_lookup_deprecation_entry ........................  | 64.17µs   | 0.000           | 64.17µs  | 210        | 0          | 0.00ns       |
| metadata_decode_entry_diagnostic_items ................................  | 61.72µs   | 0.000           | 61.72µs  | 131        | 0          | 0.00ns       |
| metadata_decode_entry_def_ident_span ..................................  | 56.56µs   | 0.000           | 56.56µs  | 136        | 0          | 0.00ns       |
| metadata_decode_entry_explicit_item_bounds ............................  | 54.58µs   | 0.000           | 54.58µs  | 12         | 0          | 0.00ns       |
| exported_non_generic_symbols ..........................................  | 51.97µs   | 0.000           | 276.98µs | 129        | 173        | 0.00ns       |
| metadata_decode_entry_variances_of ....................................  | 51.08µs   | 0.000           | 51.08µs  | 46         | 0          | 0.00ns       |
| metadata_decode_entry_native_libraries ................................  | 50.67µs   | 0.000           | 50.67µs  | 140        | 0          | 0.00ns       |
| metadata_decode_entry_missing_lang_items ..............................  | 48.88µs   | 0.000           | 48.88µs  | 140        | 0          | 0.00ns       |
| native_libraries ......................................................  | 48.42µs   | 0.000           | 243.21µs | 141        | 0          | 0.00ns       |
| is_profiler_runtime ...................................................  | 47.85µs   | 0.000           | 54.84µs  | 140        | 0          | 0.00ns       |
| link_binary_check_files_are_writeable .................................  | 47.10µs   | 0.000           | 47.10µs  | 1          | 0          | 0.00ns       |
| metadata_decode_entry_defined_lang_items ..............................  | 46.45µs   | 0.000           | 46.45µs  | 140        | 0          | 0.00ns       |
| unused_lib_feature_checking ...........................................  | 43.55µs   | 0.000           | 50.36µs  | 1          | 0          | 0.00ns       |
| const_conditions ......................................................  | 42.26µs   | 0.000           | 111.08µs | 51         | 0          | 0.00ns       |
| codegen_unit ..........................................................  | 41.33µs   | 0.000           | 41.33µs  | 16         | 16         | 0.00ns       |
| postorder_cnums .......................................................  | 40.92µs   | 0.000           | 40.92µs  | 1          | 0          | 0.00ns       |
| metadata_decode_entry_crate_incoherent_impls ..........................  | 38.56µs   | 0.000           | 38.56µs  | 560        | 0          | 0.00ns       |
| symbol_mangling_version ...............................................  | 38.13µs   | 0.000           | 49.62µs  | 44         | 947        | 0.00ns       |
| crate_name ............................................................  | 37.95µs   | 0.000           | 53.24µs  | 140        | 639985     | 0.00ns       |
| is_private_dep ........................................................  | 37.39µs   | 0.000           | 61.77µs  | 141        | 30714      | 0.00ns       |
| crate_injection .......................................................  | 32.16µs   | 0.000           | 32.16µs  | 1          | 0          | 0.00ns       |
| metadata_decode_entry_inherent_impls ..................................  | 31.59µs   | 0.000           | 31.59µs  | 28         | 0          | 0.00ns       |
| metadata_decode_entry_coroutine_kind ..................................  | 29.72µs   | 0.000           | 29.72µs  | 100        | 0          | 0.00ns       |
| exportable_items ......................................................  | 28.06µs   | 0.000           | 39.88µs  | 44         | 144636     | 0.00ns       |
| metadata_decode_entry_associated_types_for_impl_traits_in_trait_or_impl  | 27.33µs   | 0.000           | 27.33µs  | 8          | 0          | 0.00ns       |
| registered_tools ......................................................  | 25.00µs   | 0.000           | 25.00µs  | 1          | 28907      | 0.00ns       |
| exported_generic_symbols ..............................................  | 24.76µs   | 0.000           | 4.80ms   | 141        | 258        | 0.00ns       |
| metadata_decode_entry_anon_const_kind .................................  | 24.66µs   | 0.000           | 24.66µs  | 13         | 0          | 0.00ns       |
| emit_ast_lowering_delayed_lints .......................................  | 24.52µs   | 0.000           | 25.08µs  | 1          | 0          | 0.00ns       |
| metadata_decode_entry_is_private_dep ..................................  | 24.38µs   | 0.000           | 24.38µs  | 140        | 0          | 0.00ns       |
| missing_lang_items ....................................................  | 23.70µs   | 0.000           | 72.57µs  | 140        | 128        | 0.00ns       |
| module_children .......................................................  | 23.00µs   | 0.000           | 1.51ms   | 90         | 0          | 0.00ns       |
| metadata_decode_entry_dep_kind ........................................  | 22.93µs   | 0.000           | 22.93µs  | 140        | 0          | 0.00ns       |
| used_crate_source .....................................................  | 20.56µs   | 0.000           | 38.95µs  | 140        | 128        | 0.00ns       |
| dep_kind ..............................................................  | 20.25µs   | 0.000           | 43.18µs  | 140        | 280        | 0.00ns       |
| rust_target_features ..................................................  | 19.69µs   | 0.000           | 19.69µs  | 1          | 20933      | 0.00ns       |
| is_panic_runtime ......................................................  | 19.63µs   | 0.000           | 38.27µs  | 141        | 131        | 0.00ns       |
| is_no_builtins ........................................................  | 19.12µs   | 0.000           | 25.45µs  | 140        | 0          | 0.00ns       |
| analysis ..............................................................  | 18.87µs   | 0.000           | 35.71s   | 1          | 0          | 0.00ns       |
| metadata_decode_entry_is_panic_runtime ................................  | 18.64µs   | 0.000           | 18.64µs  | 140        | 0          | 0.00ns       |
| metadata_decode_entry_used_crate_source ...............................  | 18.38µs   | 0.000           | 18.38µs  | 140        | 0          | 0.00ns       |
| lint_checking .........................................................  | 17.77µs   | 0.000           | 682.08ms | 1          | 0          | 0.00ns       |
| is_compiler_builtins ..................................................  | 17.54µs   | 0.000           | 24.86µs  | 129        | 1116464    | 0.00ns       |
| defined_lang_items ....................................................  | 17.34µs   | 0.000           | 63.79µs  | 140        | 0          | 0.00ns       |
| panic_in_drop_strategy ................................................  | 16.63µs   | 0.000           | 22.18µs  | 126        | 0          | 0.00ns       |
| stable_order_of_exportable_impls ......................................  | 16.42µs   | 0.000           | 16.42µs  | 1          | 0          | 0.00ns       |
| metadata_decode_entry_object_lifetime_default .........................  | 16.36µs   | 0.000           | 16.36µs  | 22         | 0          | 0.00ns       |
| metadata_decode_entry_crate_name ......................................  | 15.29µs   | 0.000           | 15.29µs  | 140        | 0          | 0.00ns       |
| coherence_checking ....................................................  | 14.86µs   | 0.000           | 2.97s    | 1          | 0          | 0.00ns       |
| macro_expand_crate ....................................................  | 14.08µs   | 0.000           | 4.26s    | 1          | 0          | 0.00ns       |
| metadata_decode_entry_asyncness .......................................  | 13.30µs   | 0.000           | 13.30µs  | 72         | 0          | 0.00ns       |
| is_promotable_const_fn ................................................  | 12.85µs   | 0.000           | 24.42µs  | 1          | 501        | 0.00ns       |
| metadata_decode_entry_exportable_items ................................  | 11.82µs   | 0.000           | 11.82µs  | 43         | 0          | 0.00ns       |
| clashing_extern_declarations ..........................................  | 11.63µs   | 0.000           | 11.63µs  | 1          | 0          | 0.00ns       |
| metadata_decode_entry_symbol_mangling_version .........................  | 11.50µs   | 0.000           | 11.50µs  | 44         | 0          | 0.00ns       |
| metadata_decode_entry_explicit_implied_const_bounds ...................  | 10.20µs   | 0.000           | 10.20µs  | 14         | 0          | 0.00ns       |
| metadata_decode_entry_lookup_const_stability ..........................  | 9.91µs    | 0.000           | 9.91µs   | 1          | 0          | 0.00ns       |
| check_unused_macros ...................................................  | 9.76µs    | 0.000           | 9.76µs   | 1          | 0          | 0.00ns       |
| explicit_implied_const_bounds .........................................  | 9.54µs    | 0.000           | 19.75µs  | 14         | 8          | 0.00ns       |
| metadata_decode_entry_params_in_repr ..................................  | 9.31µs    | 0.000           | 9.31µs   | 4          | 0          | 0.00ns       |
| resolve_crate .........................................................  | 8.93µs    | 0.000           | 344.52ms | 1          | 0          | 0.00ns       |
| looking_for_entry_point ...............................................  | 8.62µs    | 0.000           | 26.35ms  | 1          | 0          | 0.00ns       |
| codegen_thin_generate_lto_work ........................................  | 8.51µs    | 0.000           | 158.14ms | 1          | 0          | 0.00ns       |
| metadata_decode_entry_coerce_unsized_info .............................  | 8.35µs    | 0.000           | 8.35µs   | 3          | 0          | 0.00ns       |
| anon_const_kind .......................................................  | 8.03µs    | 0.000           | 32.68µs  | 13         | 27         | 0.00ns       |
| lookup_default_body_stability .........................................  | 7.39µs    | 0.000           | 7.55µs   | 1          | 402        | 0.00ns       |
| metadata_decode_entry_is_compiler_builtins ............................  | 7.32µs    | 0.000           | 7.32µs   | 128        | 0          | 0.00ns       |
| crates ................................................................  | 6.99µs    | 0.000           | 6.99µs   | 1          | 196        | 0.00ns       |
| metadata_decode_entry_is_profiler_runtime .............................  | 6.99µs    | 0.000           | 6.99µs   | 140        | 0          | 0.00ns       |
| resolve_main ..........................................................  | 6.98µs    | 0.000           | 6.98µs   | 1          | 0          | 0.00ns       |
| metadata_decode_entry_is_no_builtins ..................................  | 6.34µs    | 0.000           | 6.34µs   | 140        | 0          | 0.00ns       |
| check_validity_requirement ............................................  | 5.89µs    | 0.000           | 7.31µs   | 10         | 2          | 0.00ns       |
| metadata_decode_entry_panic_in_drop_strategy ..........................  | 5.56µs    | 0.000           | 5.56µs   | 126        | 0          | 0.00ns       |
| metadata_decode_entry_required_panic_strategy .........................  | 5.53µs    | 0.000           | 5.53µs   | 127        | 0          | 0.00ns       |
| cgu_partitioning ......................................................  | 5.36µs    | 0.000           | 595.80ms | 1          | 0          | 0.00ns       |
| used_crates ...........................................................  | 4.85µs    | 0.000           | 4.85µs   | 1          | 0          | 0.00ns       |
| metadata_decode_entry_adt_async_destructor ............................  | 4.09µs    | 0.000           | 4.09µs   | 26         | 0          | 0.00ns       |
| metadata_decode_entry_is_doc_hidden ...................................  | 3.98µs    | 0.000           | 3.98µs   | 36         | 0          | 0.00ns       |
| type_alias_is_lazy ....................................................  | 3.91µs    | 0.000           | 4.68µs   | 5          | 14219      | 0.00ns       |
| specialization_enabled_in .............................................  | 3.79µs    | 0.000           | 4.37µs   | 5          | 20         | 0.00ns       |
| stability_implications ................................................  | 3.56µs    | 0.000           | 3.56µs   | 1          | 0          | 0.00ns       |
| looking_for_derive_registrar ..........................................  | 3.28µs    | 0.000           | 8.74ms   | 1          | 0          | 0.00ns       |
| check_lint_expectations ...............................................  | 3.27µs    | 0.000           | 230.82µs | 1          | 0          | 0.00ns       |
| lib_features ..........................................................  | 3.26µs    | 0.000           | 3.26µs   | 1          | 0          | 0.00ns       |
| normalize_canonicalized_free_alias ....................................  | 3.09µs    | 0.000           | 7.52µs   | 1          | 0          | 0.00ns       |
| limits ................................................................  | 2.81µs    | 0.000           | 2.81µs   | 1          | 63570890   | 0.00ns       |
| check_expectations ....................................................  | 2.71µs    | 0.000           | 227.56µs | 1          | 0          | 0.00ns       |
| link ..................................................................  | 2.42µs    | 0.000           | 273.73ms | 1          | 0          | 0.00ns       |
| extern_crate ..........................................................  | 2.33µs    | 0.000           | 3.75µs   | 9          | 0          | 0.00ns       |
| lto_generate_symbols_below_threshold ..................................  | 2.18µs    | 0.000           | 2.18µs   | 1          | 0          | 0.00ns       |
| coerce_unsized_info ...................................................  | 2.14µs    | 0.000           | 10.49µs  | 3          | 5055       | 0.00ns       |
| lookup_const_stability ................................................  | 1.66µs    | 0.000           | 11.57µs  | 1          | 0          | 0.00ns       |
| maybe_create_a_macro_crate ............................................  | 1.57µs    | 0.000           | 1.57µs   | 1          | 0          | 0.00ns       |
| metadata_decode_entry_extern_crate ....................................  | 1.42µs    | 0.000           | 1.42µs   | 9          | 0          | 0.00ns       |
| global_backend_features ...............................................  | 1.00µs    | 0.000           | 1.00µs   | 1          | 211802     | 0.00ns       |
| find_cgu_reuse ........................................................  | 801.00ns  | 0.000           | 801.00ns | 1          | 0          | 0.00ns       |
| alloc_error_handler_kind ..............................................  | 782.00ns  | 0.000           | 782.00ns | 1          | 0          | 0.00ns       |
| metadata_decode_entry_type_alias_is_lazy ..............................  | 771.00ns  | 0.000           | 771.00ns | 5          | 0          | 0.00ns       |
| all_local_trait_impls .................................................  | 741.00ns  | 0.000           | 741.00ns | 1          | 0          | 0.00ns       |
| resolutions ...........................................................  | 681.00ns  | 0.000           | 681.00ns | 1          | 3396       | 0.00ns       |
| metadata_decode_entry_specialization_enabled_in .......................  | 581.00ns  | 0.000           | 581.00ns | 5          | 0          | 0.00ns       |
| serialize_dep_graph ...................................................  | 571.00ns  | 0.000           | 571.00ns | 1          | 0          | 0.00ns       |
| layout_testing ........................................................  | 571.00ns  | 0.000           | 571.00ns | 1          | 0          | 0.00ns       |
| opt_ast_lowering_delayed_lints ........................................  | 561.00ns  | 0.000           | 561.00ns | 1          | 0          | 0.00ns       |
| crate_lints ...........................................................  | 481.00ns  | 0.000           | 481.00ns | 1          | 0          | 0.00ns       |
| maybe_building_test_harness ...........................................  | 471.00ns  | 0.000           | 471.00ns | 1          | 0          | 0.00ns       |
| resolve_report_errors .................................................  | 450.00ns  | 0.000           | 450.00ns | 1          | 0          | 0.00ns       |
| crate_inherent_impls_validity_check ...................................  | 380.00ns  | 0.000           | 380.00ns | 1          | 0          | 0.00ns       |
| drop_dep_graph ........................................................  | 301.00ns  | 0.000           | 301.00ns | 1          | 0          | 0.00ns       |
| serialize_work_products ...............................................  | 251.00ns  | 0.000           | 251.00ns | 1          | 0          | 0.00ns       |
| abi_testing ...........................................................  | 230.00ns  | 0.000           | 230.00ns | 1          | 0          | 0.00ns       |
| backend_optimization_level ............................................  | 200.00ns  | 0.000           | 200.00ns | 1          | 16         | 0.00ns       |
| metadata_decode_entry_lookup_default_body_stability ...................  | 160.00ns  | 0.000           | 160.00ns | 1          | 0          | 0.00ns       |
| allocator_kind ........................................................  | 120.00ns  | 0.000           | 120.00ns | 1          | 1          | 0.00ns       |
| crate_for_resolver ....................................................  | 0.00ns    | 0.000           | 0.00ns   | 0          | 2          | 0.00ns       |
| features_query ........................................................  | 0.00ns    | 0.000           | 0.00ns   | 0          | 8456061    | 0.00ns       |
| output_filenames ......................................................  | 0.00ns    | 0.000           | 0.00ns   | 0          | 38         | 0.00ns       |
+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
Total cpu time: 1199.620125581s
+----------------------------+----------------+
| Item                       | Artifact Size  |
+----------------------------+----------------+
| cgu_instructions           | 3418930 bytes  |
| codegen_unit_size_estimate | 5468615 bytes  |
| linked_artifact            | 24176960 bytes |
| object_file                | 56858304 bytes |
+----------------------------+----------------+
