+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Blocked time |
| mir_shims .............................................................  | 484.64ms  | 0.040           | 680.10ms | 31709      | 121275     | 0.00ns       |
| mir_pass_inst_simplify_before_inline ..................................  | 483.41ms  | 0.040           | 483.47ms | 41660      | 0          | 0.00ns       |
| mir_pass_function_item_references .....................................  | 459.77ms  | 0.038           | 476.11ms | 20934      | 0          | 0.00ns       |
| metadata_decode_entry_deduced_param_attrs .............................  | 452.62ms  | 0.038           | 452.62ms | 2010       | 0          | 0.00ns       |
| self_profile_alloc_query_strings ......................................  | 451.77ms  | 0.038           | 451.77ms | 1          | 0          | 0.00ns       |
| cgu_partitioning_place_items ..........................................  | 445.13ms  | 0.037           | 504.00ms | 1          | 0          | 0.00ns       |
| hir_crate .............................................................  | 406.78ms  | 0.034           | 547.83ms | 1          | 95698      | 0.00ns       |
| mir_pass_inline .......................................................  | 392.31ms  | 0.033           | 473.57ms | 20232      | 0          | 0.00ns       |
| type_op_ascribe_user_type .............................................  | 382.23ms  | 0.032           | 453.74ms | 6637       | 19999      | 0.00ns       |
| compare_impl_item .....................................................  | 381.91ms  | 0.032           | 1.02s    | 3815       | 2810       | 0.00ns       |
| mir_promoted ..........................................................  | 367.15ms  | 0.031           | 14.70s   | 20934      | 58001      | 0.00ns       |
| mir_inliner_callees ...................................................  | 360.63ms  | 0.030           | 364.56ms | 20832      | 35804      | 0.00ns       |
| is_unpin_raw ..........................................................  | 359.61ms  | 0.030           | 668.63ms | 35003      | 108440     | 0.00ns       |
| mir_pass_reference_propagation ........................................  | 356.69ms  | 0.030           | 357.02ms | 20232      | 0          | 0.00ns       |
| try_normalize_generic_arg_after_erasing_regions .......................  | 339.51ms  | 0.028           | 1.65s    | 128456     | 429506     | 0.00ns       |
| eval_to_allocation_raw ................................................  | 330.48ms  | 0.028           | 750.42ms | 20333      | 3          | 0.00ns       |
| monomorphization_collector_graph_walk .................................  | 329.53ms  | 0.027           | 9.67s    | 1          | 0          | 0.00ns       |
| has_ffi_unwind_calls ..................................................  | 328.98ms  | 0.027           | 13.93s   | 20934      | 41868      | 0.00ns       |
| resolve_bound_vars ....................................................  | 327.26ms  | 0.027           | 340.16ms | 8224       | 10826      | 0.00ns       |
| is_copy_raw ...........................................................  | 324.10ms  | 0.027           | 3.92s    | 107919     | 308470     | 760.36µs     |
| metadata_decode_entry_type_of .........................................  | 323.73ms  | 0.027           | 323.73ms | 5821       | 0          | 0.00ns       |
| fn_sig ................................................................  | 309.28ms  | 0.026           | 638.15ms | 10233      | 2542479    | 378.48µs     |
| explicit_predicates_of ................................................  | 281.50ms  | 0.023           | 287.35ms | 37635      | 39327      | 0.00ns       |
| late_resolve_crate ....................................................  | 280.02ms  | 0.023           | 281.05ms | 1          | 0          | 0.00ns       |
| resolve_instance_raw ..................................................  | 277.20ms  | 0.023           | 1.89s    | 196849     | 1377766    | 0.00ns       |
| check_private_in_public ...............................................  | 275.06ms  | 0.023           | 275.06ms | 102        | 0          | 0.00ns       |
| generics_of ...........................................................  | 261.40ms  | 0.022           | 402.57ms | 38411      | 43938701   | 508.14µs     |
| mir_pass_lower_intrinsics .............................................  | 251.35ms  | 0.021           | 251.35ms | 23036      | 0          | 0.00ns       |
| codegen_fn_attrs ......................................................  | 242.76ms  | 0.020           | 426.99ms | 23310      | 5934502    | 106.48µs     |
| type_op_normalize_fn_sig ..............................................  | 242.30ms  | 0.020           | 1.75s    | 27036      | 8499       | 0.00ns       |
| run_linker ............................................................  | 237.91ms  | 0.020           | 237.91ms | 1          | 0          | 0.00ns       |
| misc_checking_1 .......................................................  | 224.97ms  | 0.019           | 260.05ms | 1          | 0          | 0.00ns       |
| compile_first_CGU_batch ...............................................  | 220.51ms  | 0.018           | 3.21s    | 1          | 0          | 0.00ns       |
| region_scope_tree .....................................................  | 208.19ms  | 0.017           | 999.81ms | 20934      | 41868      | 0.00ns       |
| partition_and_assert_distinct_symbols .................................  | 197.40ms  | 0.016           | 793.21ms | 1          | 0          | 0.00ns       |
| mir_pass_promote_temps ................................................  | 195.61ms  | 0.016           | 268.33ms | 20934      | 0          | 0.00ns       |
| param_env .............................................................  | 187.89ms  | 0.016           | 237.02ms | 29454      | 443521     | 1.24ms       |
| opaque_types_defined_by ...............................................  | 180.15ms  | 0.015           | 307.32ms | 20934      | 32055      | 0.00ns       |
| explicit_item_self_bounds .............................................  | 175.49ms  | 0.015           | 175.69ms | 3434       | 3405       | 0.00ns       |
| mir_pass_post_analysis_normalize ......................................  | 162.09ms  | 0.014           | 372.11ms | 23036      | 0          | 0.00ns       |
| coherent_trait ........................................................  | 161.87ms  | 0.013           | 224.49ms | 1417       | 33746      | 153.40ms     |
| LLVM_thin_lto_global_analysis .........................................  | 158.13ms  | 0.013           | 158.13ms | 1          | 0          | 0.00ns       |
| mir_pass_dead_store_elimination_initial ...............................  | 157.99ms  | 0.013           | 157.99ms | 20232      | 0          | 0.00ns       |
| module_lints ..........................................................  | 155.81ms  | 0.013           | 682.07ms | 1          | 0          | 0.00ns       |
| misc_checking_3 .......................................................  | 154.22ms  | 0.013           | 1.86s    | 1          | 0          | 0.00ns       |
| mir_pass_elaborate_box_derefs .........................................  | 146.45ms  | 0.012           | 146.45ms | 23036      | 0          | 0.00ns       |
| needs_async_drop_raw ..................................................  | 145.59ms  | 0.012           | 147.42ms | 14975      | 122760     | 33.04µs      |
| LLVM_thin_lto_rename ..................................................  | 140.68ms  | 0.012           | 140.68ms | 16         | 0          | 0.00ns       |
| type_of ...............................................................  | 140.18ms  | 0.012           | 24.01s   | 39078      | 35692028   | 2.59ms       |
| mir_pass_subtyper .....................................................  | 137.42ms  | 0.011           | 137.43ms | 23036      | 0          | 0.00ns       |
| explicit_item_bounds ..................................................  | 130.43ms  | 0.011           | 130.50ms | 3417       | 99962      | 0.00ns       |
| mir_pass_simplify_cfg_pre_optimizations ...............................  | 130.22ms  | 0.011           | 130.22ms | 23036      | 0          | 0.00ns       |
| mir_pass_simplify_cfg_initial .........................................  | 127.05ms  | 0.011           | 127.05ms | 20934      | 0          | 0.00ns       |
| mir_pass_remove_noop_landing_pads .....................................  | 125.48ms  | 0.010           | 125.48ms | 64696      | 0          | 0.00ns       |
| check_tail_calls ......................................................  | 112.65ms  | 0.009           | 161.23ms | 20934      | 0          | 0.00ns       |
| assert_symbols_are_distinct ...........................................  | 111.69ms  | 0.009           | 793.13ms | 1          | 0          | 0.00ns       |
| mir_pass_simplify_cfg_post_analysis ...................................  | 106.28ms  | 0.009           | 106.28ms | 23036      | 0          | 0.00ns       |
| mir_pass_copy_prop ....................................................  | 105.50ms  | 0.009           | 105.50ms | 20232      | 0          | 0.00ns       |
| method_autoderef_steps ................................................  | 103.42ms  | 0.009           | 175.00ms | 11131      | 17095      | 476.06µs     |
| nested_bodies_within ..................................................  | 101.82ms  | 0.008           | 101.82ms | 8221       | 8221       | 0.00ns       |
| predicates_of .........................................................  | 100.75ms  | 0.008           | 520.42ms | 37635      | 6665891    | 4.79ms       |
| mir_pass_force_inline .................................................  | 97.95ms   | 0.008           | 97.95ms  | 41660      | 0          | 0.00ns       |
| mir_pass_impossible_predicates ........................................  | 97.11ms   | 0.008           | 97.11ms  | 23036      | 0          | 0.00ns       |
| mir_pass_remove_unneeded_drops ........................................  | 94.46ms   | 0.008           | 94.46ms  | 20232      | 0          | 0.00ns       |
| hir_module_items ......................................................  | 93.79ms   | 0.008           | 93.79ms  | 102        | 510        | 0.00ns       |
| upvars_mentioned ......................................................  | 91.52ms   | 0.008           | 91.52ms  | 20532      | 174466     | 0.00ns       |
| typing_env_normalized_for_post_analysis ...............................  | 85.44ms   | 0.007           | 100.31ms | 25454      | 760937     | 0.00ns       |
| early_lint_checks .....................................................  | 85.41ms   | 0.007           | 103.49ms | 1          | 0          | 0.00ns       |
| is_async_drop_raw .....................................................  | 85.36ms   | 0.007           | 358.51ms | 22786      | 160685     | 59.32µs      |
| mir_pass_check_drop_recursion .........................................  | 82.85ms   | 0.007           | 82.85ms  | 23036      | 0          | 0.00ns       |
| mir_pass_check_call_recursion .........................................  | 81.87ms   | 0.007           | 122.64ms | 20934      | 0          | 0.00ns       |
| shallow_lint_levels_on ................................................  | 81.53ms   | 0.007           | 84.62ms  | 14863      | 765106     | 0.00ns       |
| mir_pass_simplify_locals_after_value_numbering ........................  | 80.29ms   | 0.007           | 80.29ms  | 20232      | 0          | 0.00ns       |
| mir_pass_dead_store_elimination_final .................................  | 79.81ms   | 0.007           | 79.81ms  | 20232      | 0          | 0.00ns       |
| mir_pass_jump_threading ...............................................  | 79.37ms   | 0.007           | 79.37ms  | 20232      | 0          | 0.00ns       |
| mir_pass_simplify_locals_before_const_prop ............................  | 78.96ms   | 0.007           | 78.96ms  | 20232      | 0          | 0.00ns       |
| assumed_wf_types ......................................................  | 77.98ms   | 0.006           | 78.82ms  | 13336      | 19939      | 0.00ns       |
| disabled_sanitizers_for ...............................................  | 77.03ms   | 0.006           | 89.92ms  | 24746      | 20933      | 0.00ns       |
| local_def_id_to_hir_id ................................................  | 73.85ms   | 0.006           | 73.85ms  | 46197      | 1230371    | 25.27µs      |
| monomorphization_collector ............................................  | 72.98ms   | 0.006           | 23.72s   | 1          | 0          | 0.00ns       |
| type_op_normalize_clause ..............................................  | 71.27ms   | 0.006           | 271.65ms | 22038      | 4506       | 0.00ns       |
| drop_ast ..............................................................  | 68.84ms   | 0.006           | 68.84ms  | 1          | 0          | 0.00ns       |
| mir_pass_simplify_cfg_promote_consts ..................................  | 68.79ms   | 0.006           | 68.79ms  | 20934      | 0          | 0.00ns       |
| inferred_outlives_crate ...............................................  | 68.46ms   | 0.006           | 75.87ms  | 1          | 902        | 65.16ms      |
| mir_pass_unreachable_enum_branching ...................................  | 65.31ms   | 0.005           | 1.03s    | 20232      | 0          | 0.00ns       |
| mir_pass_derefer ......................................................  | 63.93ms   | 0.005           | 63.93ms  | 44464      | 0          | 0.00ns       |
| mir_pass_add_moves_for_packed_drops ...................................  | 63.02ms   | 0.005           | 63.10ms  | 44464      | 0          | 0.00ns       |
| def_span ..............................................................  | 61.60ms   | 0.005           | 70.48ms  | 35839      | 321140     | 0.00ns       |
| constness .............................................................  | 60.49ms   | 0.005           | 60.56ms  | 20882      | 126020     | 0.00ns       |
| cgu_partitioning_merge_cgus ...........................................  | 58.63ms   | 0.005           | 58.63ms  | 1          | 0          | 0.00ns       |
| mir_pass_simplify_cfg_final ...........................................  | 58.17ms   | 0.005           | 58.17ms  | 20232      | 0          | 0.00ns       |
| LLVM_thin_lto_resolve_weak ............................................  | 57.57ms   | 0.005           | 57.57ms  | 16         | 0          | 0.00ns       |
| mir_pass_check_force_inline ...........................................  | 57.32ms   | 0.005           | 57.32ms  | 20934      | 0          | 0.00ns       |
| mir_pass_sanity_check .................................................  | 56.35ms   | 0.005           | 56.35ms  | 20934      | 0          | 0.00ns       |
| inferred_outlives_of ..................................................  | 53.75ms   | 0.004           | 131.80ms | 37635      | 903        | 0.00ns       |
| mir_pass_remove_zsts ..................................................  | 53.38ms   | 0.004           | 57.78ms  | 20232      | 0          | 0.00ns       |
| size_estimate .........................................................  | 49.89ms   | 0.004           | 49.89ms  | 143972     | 50868      | 0.00ns       |
| inherited_align .......................................................  | 47.15ms   | 0.004           | 63.11ms  | 20934      | 0          | 0.00ns       |
| lookup_deprecation_entry ..............................................  | 46.35ms   | 0.004           | 65.01ms  | 12936      | 308595     | 45.16µs      |
| closure_typeinfo ......................................................  | 44.31ms   | 0.004           | 64.39ms  | 12713      | 123902     | 0.00ns       |
| metadata_decode_entry_optimized_mir ...................................  | 43.57ms   | 0.004           | 43.57ms  | 1618       | 0          | 0.00ns       |
| mir_pass_check_packed_ref .............................................  | 42.70ms   | 0.004           | 42.70ms  | 20934      | 0          | 0.00ns       |
